Postcode,Sales_Rep_ID,Sales_Rep_Name,Year,Value
2121,456,Jane,2011,84219.49731068664
2092,789,Ashish,2012,28322.19226785212
2128,456,Jane,2013,81878.99724144173
2073,123,John,2011,44491.14212108646
2134,789,Ashish,2012,71837.72095918981
2162,123,John,2013,64531.54925397023
2093,456,Jane,2011,58962.63983184494
2042,789,Ashish,2012,27521.79196429043
2198,123,John,2013,77985.12610115489
2043,789,Ashish,2011,49546.12331653857
2025,789,Ashish,2012,17733.774599635875
2045,456,Jane,2013,91125.99592305641
2090,456,Jane,2011,48112.76477907527
2114,456,Jane,2012,28361.33839080076
2142,456,Jane,2013,50911.55490474597
2062,123,John,2011,75538.86974090135
2049,456,Jane,2012,96922.32834472919
2204,456,Jane,2013,57838.17502367252
2000,456,Jane,2011,4529.748563633329
2135,123,John,2012,27761.119322440096
2115,456,Jane,2013,22772.69837788588
2032,789,Ashish,2011,98780.16287428583
2068,456,Jane,2012,66043.70235587473
2119,789,Ashish,2013,32882.27483888877
2060,456,Jane,2011,75822.40661707098
2072,456,Jane,2012,36675.400390808165
2045,123,John,2013,95816.70288678876
2140,456,Jane,2011,43627.20041202999
2205,789,Ashish,2012,93306.11989240753
2060,123,John,2013,71321.53195158085
2042,456,Jane,2011,92022.6562234589
2118,123,John,2012,40654.84119298064
2137,789,Ashish,2013,95517.97968746317
2021,789,Ashish,2011,24550.372817471634
2044,123,John,2012,65165.63257541488
2008,789,Ashish,2013,52575.68264705236
2142,789,Ashish,2011,2355.6015708139143
2027,456,Jane,2012,11444.418217618491
2110,456,Jane,2013,30569.124856117814
2137,123,John,2011,83085.26414290175
2164,789,Ashish,2012,82490.3282073096
2067,789,Ashish,2013,23819.26749380253
2100,123,John,2011,60571.092290026616
2032,456,Jane,2012,81537.51041572585
2038,789,Ashish,2013,51840.472873702245
2011,123,John,2011,8501.937286034077
2143,789,Ashish,2012,41609.57882619351
2170,456,Jane,2013,10062.749354246325
2049,789,Ashish,2011,87702.15393313405
2086,456,Jane,2012,99436.42409836838
2032,123,John,2013,88957.41555757391
2203,123,John,2011,18845.79969887633
2198,456,Jane,2012,70963.43308910955
2112,456,Jane,2013,45570.89638296131
2052,456,Jane,2011,12148.011126511827
2133,456,Jane,2012,30271.678866607366
2164,456,Jane,2013,62744.46427471015
2087,789,Ashish,2011,106.36059923672114
2065,456,Jane,2012,30814.616270255603
2008,456,Jane,2013,89093.23263037669
2137,456,Jane,2011,22747.961623187053
2162,456,Jane,2012,8396.165401437649
2016,789,Ashish,2013,64710.8913038975
2099,789,Ashish,2011,25131.04047149558
2040,456,Jane,2012,79000.9855093238
2034,789,Ashish,2013,32183.53011658488
2044,789,Ashish,2011,72567.41536511248
2190,789,Ashish,2012,18507.612866205625
2205,123,John,2013,69530.67498224777
2006,123,John,2011,63821.532395840586
2190,456,Jane,2012,80225.2515555803
2132,789,Ashish,2013,33048.10209169636
2147,123,John,2011,36420.78485879502
2006,789,Ashish,2012,73725.4668597416
2062,456,Jane,2013,30811.273740655564
2134,123,John,2011,33404.1760799062
2110,789,Ashish,2012,60876.16054487952
2165,789,Ashish,2013,37753.5923529457
2009,123,John,2011,22852.59283123812
2195,789,Ashish,2012,5535.120792769144
2029,123,John,2013,42456.15871400993
2199,123,John,2011,91203.86817902514
2068,123,John,2012,3037.8280775409717
2009,456,Jane,2013,85746.83696560054
2043,456,Jane,2011,81012.6448839886
2046,456,Jane,2012,6258.725997976222
2050,456,Jane,2013,80519.2459627718
2047,789,Ashish,2011,79289.63613260546
2114,123,John,2012,69906.09365473947
2041,789,Ashish,2013,57233.0455837431
2023,456,Jane,2011,77797.6319784006
2094,456,Jane,2012,42384.02601860503
2022,123,John,2013,39846.843322659166
2026,456,Jane,2011,36794.362282293594
2007,123,John,2012,10189.734579916543
2064,456,Jane,2013,52484.354053693016
2023,123,John,2011,12962.72756695278
2125,789,Ashish,2012,79116.22323854174
2070,123,John,2013,16574.309480741656
2092,456,Jane,2011,27554.227014500222
2040,789,Ashish,2012,37596.89537903183
2096,123,John,2013,59561.96696864258
2123,456,Jane,2011,59035.39854371307
2200,456,Jane,2012,36867.5805464771
2099,456,Jane,2013,1839.2716659866637
2166,456,Jane,2011,97072.38171596124
2160,123,John,2012,16913.651171743495
2048,456,Jane,2013,49052.82970883602
2030,123,John,2011,19846.88399100577
2093,789,Ashish,2012,33781.36737453691
2127,456,Jane,2013,18870.257553301217
2160,456,Jane,2011,68070.83899154798
2119,456,Jane,2012,51034.178948263376
2088,456,Jane,2013,64900.63894895288
2029,789,Ashish,2011,47447.73659812535
2038,456,Jane,2012,16708.10319693009
2046,789,Ashish,2013,63444.12431650334
2070,789,Ashish,2011,62105.74029123248
2089,123,John,2012,9348.405638422131
2139,123,John,2013,2676.235212432987
2117,789,Ashish,2011,12347.61414685932
2109,123,John,2012,95787.28065217784
2141,456,Jane,2013,28464.94089901067
2115,789,Ashish,2011,28357.643769795228
2196,123,John,2012,66107.22085753329
2093,123,John,2013,69062.21217578331
2129,789,Ashish,2011,9997.426571521195
2068,789,Ashish,2012,13716.291588349293
2136,456,Jane,2013,8606.769614370469
2113,123,John,2011,31429.99916874445
2195,123,John,2012,74718.73834751977
2134,456,Jane,2013,28813.604718758168
2194,789,Ashish,2011,11588.850837528153
2017,456,Jane,2012,15791.91374115001
2122,789,Ashish,2013,62984.25356207141
2066,456,Jane,2011,12902.062255146995
2203,789,Ashish,2012,68656.95931110509
2150,789,Ashish,2013,44106.483044701105
2121,789,Ashish,2011,5490.696360368419
2142,123,John,2012,78419.44994761361
2117,456,Jane,2013,4380.462819641262
2096,456,Jane,2011,70422.38497000637
2162,789,Ashish,2012,18158.745169784484
2041,456,Jane,2013,11742.648585472693
2127,123,John,2011,11934.393831965184
2128,789,Ashish,2012,95799.18986627868
2034,456,Jane,2013,36756.00973837526
2166,789,Ashish,2011,47446.99090138717
2133,123,John,2012,41256.42162793542
2170,789,Ashish,2013,2676.1971061516565
2135,456,Jane,2011,94181.76491292236
2116,123,John,2012,49807.61783859613
2144,123,John,2013,22950.236571110305
2144,456,Jane,2011,54905.61136130048
2133,789,Ashish,2012,14908.859473425473
2034,123,John,2013,46114.78808442759
2112,123,John,2011,81700.65400132297
2143,123,John,2012,37556.347991356844
2203,456,Jane,2013,85515.93506185214
2111,123,John,2011,31843.909769082224
2037,456,Jane,2012,49010.42352189445
2018,456,Jane,2013,19506.389283742476
2145,123,John,2011,42691.190100719075
2100,456,Jane,2012,28370.053628432914
2041,123,John,2013,26093.57086307136
2129,456,Jane,2011,48260.12316159276
2197,789,Ashish,2012,95119.04408573666
2060,789,Ashish,2013,53020.162934792
2198,789,Ashish,2011,10618.600611133534
2191,789,Ashish,2012,59382.06154983862
2047,123,John,2013,1125.8001132970596
2010,123,John,2011,40301.19156029879
2146,789,Ashish,2012,43403.37790625525
2143,456,Jane,2013,74226.01246644103
2206,789,Ashish,2011,1425.1195353387259
2071,123,John,2012,5591.722252258813
2095,123,John,2013,55937.30007708344
2024,123,John,2011,12638.14459949577
2146,123,John,2012,98510.59024280483
2110,123,John,2013,73319.16633859805
2044,456,Jane,2011,59482.58626097131
2165,456,Jane,2012,45309.261094337904
2039,789,Ashish,2013,71497.7217434384
2140,789,Ashish,2011,32218.25355163338
2122,456,Jane,2012,81654.54516152263
2152,123,John,2013,34022.98807074091
2096,789,Ashish,2011,9781.568730507994
2031,789,Ashish,2012,96342.98753318204
2011,456,Jane,2013,73529.08031683796
2094,123,John,2011,90268.04646548402
2111,456,Jane,2012,51309.63165296613
2123,123,John,2013,45922.50867401581
2015,123,John,2011,19273.59376734802
2199,456,Jane,2012,89796.77785033338
2025,123,John,2013,52643.36563519786
2028,123,John,2011,39758.95861206673
2025,456,Jane,2012,82466.09413567971
2197,456,Jane,2013,21515.006097932153
2151,789,Ashish,2011,76683.53465770575
2007,789,Ashish,2012,18008.01187517437
2015,789,Ashish,2013,22373.581349935277
2024,789,Ashish,2011,69425.03633971827
2017,123,John,2012,47308.50871550073
2050,789,Ashish,2013,54725.73752982468
2160,789,Ashish,2011,35361.14088349951
2030,456,Jane,2012,87640.14086368903
2153,123,John,2013,95989.72758672955
2150,123,John,2011,95859.97603400663
2151,123,John,2012,20564.361378384576
2045,789,Ashish,2013,429.35642483590277
2027,789,Ashish,2011,15532.78012789937
2010,456,Jane,2012,35901.22441375385
2132,123,John,2013,54434.686053562466
2052,123,John,2011,33362.604382461046
2088,789,Ashish,2012,10350.328402267094
2095,456,Jane,2013,29958.544115453922
2016,123,John,2011,218.99094378275973
2071,456,Jane,2012,68776.1596131029
2138,789,Ashish,2013,33064.35427113633
2049,123,John,2011,89721.31516009287
2090,789,Ashish,2012,89378.58131844555
2021,456,Jane,2013,64327.66206611357
2039,123,John,2011,25194.856894380548
2031,456,Jane,2012,67430.83288031114
2016,456,Jane,2013,46974.92622208812
2029,456,Jane,2011,92117.64685125166
2040,123,John,2012,91203.55763617945
2061,456,Jane,2013,85199.71157667149
2191,456,Jane,2011,18626.832225590028
2052,789,Ashish,2012,52173.1177241809
2129,123,John,2013,23168.913146929237
2152,789,Ashish,2011,12454.761273136506
2161,789,Ashish,2012,87956.7828324401
2090,123,John,2013,41927.9606066534
2153,789,Ashish,2011,92727.54274334067
2109,789,Ashish,2012,42204.82336036864
2018,123,John,2013,36658.77959990044
2091,456,Jane,2011,34478.74049440451
2199,789,Ashish,2012,25315.460936383548
2000,789,Ashish,2013,83705.8221285515
2204,789,Ashish,2011,99743.83114915698
2043,123,John,2012,63982.425650802645
2073,789,Ashish,2013,34375.95610590796
2121,123,John,2011,54646.99618619132
2028,456,Jane,2012,62273.347238831266
2147,789,Ashish,2013,23527.97322289736
2037,123,John,2011,13587.794772950334
2028,789,Ashish,2012,31934.828348412815
2128,123,John,2013,38554.16030319362
2063,789,Ashish,2011,15321.640221102862
2115,123,John,2012,8071.888705740982
2192,456,Jane,2013,56303.46388417899
2048,789,Ashish,2011,99878.48920854433
2094,789,Ashish,2012,20724.01527183706
2118,789,Ashish,2013,42536.16041965423
2166,123,John,2011,81440.12669815867
2144,789,Ashish,2012,34311.550425515525
2163,789,Ashish,2013,58998.371642597056
2195,456,Jane,2011,22991.41364789751
2141,789,Ashish,2012,87834.71666825442
2114,789,Ashish,2013,68606.14355378656
2000,123,John,2011,29852.49453670984
2200,789,Ashish,2012,12875.759802125342
2138,456,Jane,2013,90142.1017793189
2066,123,John,2011,82466.97449719846
2008,123,John,2012,26125.316839948464
2022,789,Ashish,2013,98199.93399223124
2048,123,John,2011,87566.65877408146
2061,789,Ashish,2012,31229.617607541528
2193,123,John,2013,79937.63013262182
2113,789,Ashish,2011,70309.54815949994
2131,123,John,2012,35669.7868815247
2010,789,Ashish,2013,95019.35766241468
2015,456,Jane,2011,79888.06067458939
2116,789,Ashish,2012,46537.45889675789
2069,456,Jane,2013,69285.42221153015
2112,789,Ashish,2011,75681.73782899589
2033,456,Jane,2012,39497.31948219559
2064,123,John,2013,27992.32256873778
2161,123,John,2011,41023.202205164846
2190,123,John,2012,63169.826009810604
2007,456,Jane,2013,2299.4875569626647
2163,456,Jane,2011,10715.216287729401
2153,456,Jane,2012,17557.085912025184
2092,123,John,2013,28856.189867976067
2039,456,Jane,2011,55997.71034430137
2086,789,Ashish,2012,34227.703654790144
2204,123,John,2013,19758.961798385953
2047,456,Jane,2011,99865.21157191237
2206,123,John,2012,37001.90606642551
